Pays,Population,Pays,densite 1970,densite 2000,Pays,taux de fecondite,Pays,hommes 100 femmes,Nb de nouveau-nés,Pays, Taux de fécondité /CIA Factbook 2016,Taux de fécondité/ONU 2010–2015,Taux de natalité (‰ hab)/CIA Factbook 2016,Taux de natalité (‰ hab)/ONU 2010–2015,Pays,taux deurbanisation,pays,espérance de vie des deux sexes,pays,taux de croissance demographique,pays,Taux de mortalité ‰ hab/(ONU 2010–2015),0,Pays,"Taux de mortalité infantile/‰ naissances (2010–2015, ONU",Taucde mortalitePourcentage,"Taux de mortalité infantile/‰ naissances (2016, Banque mondiale)", Banque mondiale en poucentage,Pays,Tranches âge 0 a 14ans,Tranches âge 15 a 64 ans,Tranches âge plus de 65 ans,pays ,Age médian Hommes
 Ukraine[e],43 467 000,"88,7","108,9","124,3", Cote d'Ivoire,3.60, Libye,"102,0","106,0", Irak,"4,06","4,55","30,9","34,5", Andorre,"84,6 %", États-Unis,"76,9", Guyane,"2,41", Tchéquie,"10,4","10,3", Hongrie,"4,62","0,5 %","5,20","0,5 %", Cap-Vert,"29,3 %","66,2 %","4,5 %", Burundi,"16,8"
 Irak,41 179 000,"107,8","101,1","103,1", Mauritania,3.59, Albanie,"102,0","107,8", Ghana,"4,03","4,18","30,8","32,7", Finlande,"84,4 %", Croatie,"74,7", Guinée équatoriale,"2,38", Ouganda,"10,4","09,4", Canada,"4,73","0,5 %","4,90","0,5 %", Qatar,"15,6 %","83,1 %","1,3 %", Îles Caïmans (Royaume-Uni),"38,8"
 Afghanistan,39 835 000, Aruba (Pays-Bas),"211,5","301,2", Palestine (Bande de Gaza),3.54, Bangladesh,"101,9","104,9",Sahara occidental,"3,93","2,60","29,8","22,2", Jordanie,"83,9 %", Albanie,"75,1", Vanuatu,"2,38", Danemark,"10,3","09,5", Malte,"4,83","0,5 %","6,80","0,7 %", Kirghizistan,"31,9 %","63,8 %","4,3 %", Cambodge,"24,2"
 Canada,38 068 000,"328,1","333,9","345,3", Pakistan,3.53, Saint-Vincent-et-les-Grenadines,"101,8","103,0", Mauritanie,"3,93","4,88","30,9","35,5", Arabie saoudite,"83,3 %", Panama,"74,7", Îles Salomon,"2,33", Italie,"10,3","10,2", Slovaquie,"4,91","0,5 %","5,90","0,6 %", Comores,"40,1 %","57,1 %","2,8 %", Cameroun,"18,4"
 Pologne,37 797 000,"504,7","564,8","587,1", Malawi,3.51, Comores,"101,7","105,0", Palestine,"3,86","4,25","29,4","32,9", Bahamas,"83,0 %", Brunei,"76,3", Nigeria,"2,27", Pologne,"10,3","09,9", Taïwan,"5,21","0,5 %",…,…, République du Congo,"42,6 %","53,7 %","3,7 %", Canada,"40,8"
 Maroc,37 345 000, Australie,"1,1","1,3", Rwanda,3.42, Liberia,"101,7","105,4", Yémen,"3,77","4,40","29,2","33,6", Royaume-Uni,"82,8 %", Estonie,"72,7", Arabie saoudite,"2,24", République démocratique du Congo,"09,9","10,9", Cuba,"5,50","0,5 %","5,50","0,6 %", Corée du Sud,"13,7 %","72,7 %","13,6 %", Cap-Vert,"24,1"
 Arabie saoudite,35 341 000,"1,7","1,9","2,2", Kenya,3.36, Indonésie,"101,5","105,0", Soudan,"3,68","4,75","28,5","34,4", Corée du Sud,"82,6 %", Pologne,"73,6", Cap-Vert,"2,23", Finlande,"09,9","09,5", États-Unis,"5,97","0,6 %","6,50","0,7 %", Koweït,"22,6 %","75,4 %","2,0 %", République centrafricaine,"19,3"
 Ouzbékistan,33 936 000,"2,5","2,9","3,2", Gabon,3.36, Philippines,"101,5","106,0", Gambie,"3,63","5,62","30,1","41,2", Canada,"82,0 %", Bosnie-Herzégovine,"75,0", Îles Marshall,"2,23", Zimbabwe,"09,9","09,6", Émirats arabes unis,"6,23","0,6 %","7,70","0,8 %", Lesotho,"36,0 %","59,9 %","4,1 %", Chili,"32,9"
 Angola,33 934 000, Autriche,"84,2","85,8", Iraq,3.32, Guyana,"101,5","105,0", Égypte,"3,53","3,38","30,3","28,5", États-Unis,"81,8 %", Émirats arabes unis,"76,4", Soudan,"2,22", Bosnie-Herzégovine,"09,9","10,4", Porto Rico,"6,25","0,6 %",…,…, Liban,"23,5 %","68,2 %","8,3 %", Chine,"36,2"
 Pérou,33 359 000,"91,2","92,3","93,7", Egypt,3.23, Mauritanie,"101,4","105,0", Zimbabwe,"3,50","4,00","31,9","35,6", Norvège,"80,7 %", Uruguay,"73,3", Guinée,"2,16", Cameroun,"09,8","11,1", Qatar,"6,45","0,6 %","8,50","0,9 %", Libye,"29,6 %","65,8 %","4,6 %", Chypre,"35,1"
 Malaisie,32 776 000,"97,9","102,1","106,2", Gambie,3.13, Norvège,"101,4","105,7", Comores,"3,47","4,60","26,9","34,4", République dominicaine,"79,8 %", Bahreïn,"76,2", République du Congo,"2,11", Belgique,"09,7","09,8", Lettonie,"6,49","0,6 %","4,60","0,5 %", Luxembourg,"16,5 %","69,4 %","14,1 %", Colombie,"28,7"
 Mozambique,32 163 000, Azerbaïdjan,"35,4","47,1", Libya,3.13, Iran,"101,3","105,2", Côte d'Ivoire,"3,46","5,14","28,8","37,7", Espagne,"79,8 %", Mexique,"73,9", Qatar,"2,11", Monaco,"09,6","09,7", Malaisie,"6,76","0,7 %","8,30","0,8 %", Madagascar,"41,4 %","55,7 %","2,9 %", Comores,"19,0"
 Ghana,31 732 000,"62,7","74,4","87,6", Yemen,3.10, Tadjikistan,"101,1","106,5", Namibie,"3,36","3,60","27,9","30,4", France,"79,7 %", Slovaquie,"72,9", Belize,"2,08", Afrique du Sud,"09,6","11,2", Bahreïn,"6,91","0,7 %","7,60","0,8 %", Malaisie,"25,0 %","69,1 %","5,9 %", République du Congo,"19,7"
 Yémen,30 491 000,"98,3","109,3","120,1", Namibia,3.03, Liban,"100,9","105,0", Îles Salomon,"3,22","4,06","25,3","30,8", Mexique,"79,5 %", Oman,"75,0", Brunei,"2,05", Japon,"09,6","09,9", Chili,"7,17","0,7 %","8,30","0,8 %", Mali,"47,4 %","50,0 %","2,5 %", République démocratique du Congo,"18,1"
 Népal,29 675 000, Bahamas,"7,9","10,9", West Bank,3.02, Suriname,"100,9","107,1", Jordanie,"3,18","3,60","25,5","28,4", Pérou,"78,9 %", Antigua-et-Barbuda,"74,1", Sierra Leone,"2,04", Monténégro,"09,6","09,7", Oman,"7,31","0,7 %","10,70","1,1 %", Maroc,"27,2 %","66,5 %","6,3 %", Îles Cook (Nouvelle-Zélande),"35,3"
 Venezuela,28 705 000,"16,9","21,0","25,6", Jordan,3.00, Djibouti,"100,8","103,9", Tonga,"3,18","3,79","22,6","25,7", Libye,"78,8 %", Argentine,"72,7", Samoa américaines,"2,01", Liberia,"09,5","08,8", Bosnie-Herzégovine,"7,60","0,8 %","6,00","0,6 %", Maurice,"18,9 %","71,1 %","10,0 %", Corée du Nord,"32,3"
 Madagascar,28 427 000,"29,8","36,0","39,9", Lesotho,2.95, Luxembourg,"100,8","104,6", Vanuatu,"3,16","3,41","24,5","26,9", Grèce,"78,3 %", Jamaïque,"73,9", Papouasie-Nouvelle-Guinée,"2,00", Côte d'Ivoire,"09,5","13,4", Sri Lanka,"8,23","0,8 %","9,40","0,9 %", Mexique,"27,2 %","66,2 %","6,6 %", Corée du Sud,"39,7"
 Cameroun,27 224 000, Bahreïn,"152,1","213,7", Solomon Islands,2.92, Islande,"100,7","105,3", Kenya,"3,14","4,10","25,1","33,1", Oman,"78,1 %", Équateur,"73,5", Cameroun,"2,00", Autriche,"09,5","09,4", Russie,"8,25","0,8 %","7,70","0,8 %", Mongolie,"28,5 %","67,3 %","4,1 %", Costa Rica,"30,4"
 Côte d'Ivoire,27 054 000,"279,7","473,5","652,5", Philippines,2.89, Malte,"100,6","106,0", Papouasie-Nouvelle-Guinée,"3,10","3,84","24,0","28,8", Costa Rica,"77,7 %", Chine,"74,6", Ghana,"1,99", Arménie,"09,4","09,7", Koweït,"8,63","0,9 %","8,40","0,8 %", Mozambique,"45,1 %","51,5 %","3,4 %", Côte d'Ivoire,"20,8"
 Corée du Nord,25 887 000,"874,5","1 632,7","2 061,8", Comoros,2.86, Grenade,"100,6","105,0", Îles Marshall,"3,09","3,23","25,0","24,9", Djibouti,"77,4 %", Monténégro,"74,1", Oman,"1,97", Uruguay,"09,4","09,3", Bulgarie,"9,02","0,9 %","7,60","0,8 %", Namibie,"36,6 %","59,8 %","3,6 %", Croatie,"40,8"
